trend_id,site,category_id,category_name,date,search_index,sales_index,competition_index,average_price,growth_rate,is_mock_data
TREND0000001,Singapore,CAT001,Consumer Electronics,2026-05-01,36.44,30.44,27.22,45.16,0.000000,true
TREND0000002,Singapore,CAT001,Consumer Electronics,2026-05-02,38.02,31.89,27.67,45.20,0.043429,true
TREND0000003,Singapore,CAT001,Consumer Electronics,2026-05-03,39.53,33.27,28.08,45.23,0.039772,true
TREND0000004,Singapore,CAT001,Consumer Electronics,2026-05-04,42.52,36.13,29.23,45.27,0.075527,true
TREND0000005,Singapore,CAT001,Consumer Electronics,2026-05-05,43.62,37.10,29.43,45.30,0.025971,true
TREND0000006,Singapore,CAT001,Consumer Electronics,2026-05-06,39.98,33.33,27.27,45.34,-0.083498,true
TREND0000007,Singapore,CAT001,Consumer Electronics,2026-05-07,43.75,36.97,28.80,45.38,0.094185,true
TREND0000008,Singapore,CAT001,Consumer Electronics,2026-05-08,41.55,34.64,27.36,45.41,-0.050283,true
TREND0000009,Singapore,CAT001,Consumer Electronics,2026-05-09,43.14,36.10,27.81,45.45,0.038251,true
TREND0000010,Singapore,CAT001,Consumer Electronics,2026-05-10,47.21,40.04,29.50,45.49,0.094335,true
TREND0000011,Singapore,CAT001,Consumer Electronics,2026-05-11,45.92,38.62,28.51,45.52,-0.027358,true
TREND0000012,Singapore,CAT001,Consumer Electronics,2026-05-12,45.29,37.86,27.85,45.56,-0.013521,true
TREND0000013,Singapore,CAT001,Consumer Electronics,2026-05-13,46.06,38.50,27.89,45.59,0.016829,true
TREND0000014,Singapore,CAT001,Consumer Electronics,2026-05-14,47.34,39.65,28.19,45.63,0.027953,true
TREND0000015,Singapore,CAT001,Consumer Electronics,2026-05-15,50.58,42.76,29.46,45.67,0.068361,true
TREND0000016,Singapore,CAT001,Consumer Electronics,2026-05-16,52.62,44.67,30.13,45.70,0.040277,true
TREND0000017,Singapore,CAT001,Consumer Electronics,2026-05-17,51.33,43.25,29.14,45.74,-0.024572,true
TREND0000018,Singapore,CAT001,Consumer Electronics,2026-05-18,52.07,43.86,29.17,45.77,0.014556,true
TREND0000019,Singapore,CAT001,Consumer Electronics,2026-05-19,53.31,44.97,29.44,45.81,0.023687,true
TREND0000020,Singapore,CAT001,Consumer Electronics,2026-05-20,52.08,43.61,28.49,45.85,-0.022981,true
TREND0000021,Singapore,CAT001,Consumer Electronics,2026-05-21,53.97,45.37,29.09,45.88,0.036287,true
TREND0000022,Singapore,CAT001,Consumer Electronics,2026-05-22,54.01,45.28,28.76,45.92,0.000788,true
TREND0000023,Singapore,CAT001,Consumer Electronics,2026-05-23,54.94,46.08,28.88,45.95,0.017142,true
TREND0000024,Singapore,CAT001,Consumer Electronics,2026-05-24,56.01,47.02,29.07,45.99,0.019430,true
TREND0000025,Singapore,CAT001,Consumer Electronics,2026-05-25,60.78,51.66,31.11,46.03,0.085163,true
TREND0000026,Singapore,CAT001,Consumer Electronics,2026-05-26,56.96,47.71,28.86,46.06,-0.062738,true
TREND0000027,Singapore,CAT001,Consumer Electronics,2026-05-27,61.10,51.72,30.58,46.10,0.072590,true
TREND0000028,Singapore,CAT001,Consumer Electronics,2026-05-28,63.05,53.54,31.21,46.14,0.031869,true
TREND0000029,Singapore,CAT001,Consumer Electronics,2026-05-29,63.27,53.63,30.98,46.17,0.003576,true
TREND0000030,Singapore,CAT001,Consumer Electronics,2026-05-30,61.17,51.40,29.58,46.21,-0.033239,true
TREND0000031,Singapore,CAT001,Consumer Electronics,2026-05-31,62.42,52.52,29.86,46.24,0.020515,true
TREND0000032,Singapore,CAT001,Consumer Electronics,2026-06-01,65.70,55.67,31.15,46.28,0.052484,true
TREND0000033,Singapore,CAT001,Consumer Electronics,2026-06-02,63.03,52.87,29.48,46.32,-0.040604,true
TREND0000034,Singapore,CAT001,Consumer Electronics,2026-06-03,65.64,55.35,30.44,46.35,0.041463,true
TREND0000035,Singapore,CAT001,Consumer Electronics,2026-06-04,66.19,55.77,30.37,46.39,0.008341,true
TREND0000036,Singapore,CAT001,Consumer Electronics,2026-06-05,65.40,54.85,29.62,46.42,-0.012029,true
TREND0000037,Singapore,CAT001,Consumer Electronics,2026-06-06,68.60,57.92,30.88,46.46,0.049023,true
TREND0000038,Singapore,CAT001,Consumer Electronics,2026-06-07,68.64,57.83,30.55,46.50,0.000543,true
TREND0000039,Singapore,CAT001,Consumer Electronics,2026-06-08,68.42,57.48,30.10,46.53,-0.003253,true
TREND0000040,Singapore,CAT001,Consumer Electronics,2026-06-09,73.10,62.03,32.09,46.57,0.068460,true
TREND0000041,Singapore,CAT001,Consumer Electronics,2026-06-10,71.13,59.93,30.77,46.61,-0.026893,true
TREND0000042,Singapore,CAT001,Consumer Electronics,2026-06-11,72.05,60.72,30.88,46.64,0.012876,true
TREND0000043,Singapore,CAT001,Consumer Electronics,2026-06-12,75.92,64.46,32.47,46.68,0.053706,true
TREND0000044,Singapore,CAT001,Consumer Electronics,2026-06-13,73.05,61.46,30.69,46.71,-0.037763,true
TREND0000045,Singapore,CAT001,Consumer Electronics,2026-06-14,77.57,65.85,32.61,46.75,0.061866,true
TREND0000046,Singapore,CAT001,Consumer Electronics,2026-06-15,77.15,65.30,32.05,46.79,-0.005429,true
TREND0000047,Singapore,CAT001,Consumer Electronics,2026-06-16,75.11,63.13,30.68,46.82,-0.026489,true
TREND0000048,Singapore,CAT001,Consumer Electronics,2026-06-17,78.49,66.38,32.03,46.86,0.045045,true
TREND0000049,Singapore,CAT001,Consumer Electronics,2026-06-18,76.84,64.60,30.86,46.89,-0.021071,true
TREND0000050,Singapore,CAT001,Consumer Electronics,2026-06-19,79.84,67.47,32.02,46.93,0.039147,true
TREND0000051,Singapore,CAT001,Consumer Electronics,2026-06-20,80.44,67.94,31.97,46.97,0.007508,true
TREND0000052,Singapore,CAT001,Consumer Electronics,2026-06-21,80.42,67.79,31.62,47.00,-0.000230,true
TREND0000053,Singapore,CAT001,Consumer Electronics,2026-06-22,82.61,69.85,32.36,47.04,0.027124,true
TREND0000054,Singapore,CAT001,Consumer Electronics,2026-06-23,83.81,70.92,32.62,47.07,0.014530,true
TREND0000055,Singapore,CAT001,Consumer Electronics,2026-06-24,82.73,69.71,31.73,47.11,-0.012868,true
TREND0000056,Singapore,CAT001,Consumer Electronics,2026-06-25,82.25,69.10,31.15,47.15,-0.005738,true
TREND0000057,Singapore,CAT001,Consumer Electronics,2026-06-26,86.51,73.23,32.93,47.18,0.051689,true
TREND0000058,Singapore,CAT001,Consumer Electronics,2026-06-27,85.87,72.46,32.27,47.22,-0.007354,true
TREND0000059,Singapore,CAT001,Consumer Electronics,2026-06-28,86.29,72.75,32.13,47.26,0.004886,true
TREND0000060,Singapore,CAT001,Consumer Electronics,2026-06-29,86.80,73.13,32.05,47.29,0.005956,true
TREND0000061,Singapore,CAT002,Home & Living,2026-05-01,79.65,83.65,84.00,51.93,0.000000,true
TREND0000062,Singapore,CAT002,Home & Living,2026-05-02,79.46,83.10,84.43,52.03,-0.002371,true
TREND0000063,Singapore,CAT002,Home & Living,2026-05-03,80.65,83.95,84.85,52.14,0.014975,true
TREND0000064,Singapore,CAT002,Home & Living,2026-05-04,83.32,86.33,85.25,52.24,0.033099,true
TREND0000065,Singapore,CAT002,Home & Living,2026-05-05,82.20,84.99,85.62,52.33,-0.013416,true
TREND0000066,Singapore,CAT002,Home & Living,2026-05-06,81.45,84.11,85.97,52.43,-0.009073,true
TREND0000067,Singapore,CAT002,Home & Living,2026-05-07,85.03,87.64,86.27,52.52,0.043887,true
TREND0000068,Singapore,CAT002,Home & Living,2026-05-08,85.10,87.79,86.52,52.60,0.000864,true
TREND0000069,Singapore,CAT002,Home & Living,2026-05-09,82.17,85.03,86.73,52.68,-0.034478,true
TREND0000070,Singapore,CAT002,Home & Living,2026-05-10,83.93,87.07,86.88,52.74,0.021418,true
TREND0000071,Singapore,CAT002,Home & Living,2026-05-11,81.73,85.25,86.97,52.80,-0.026147,true
TREND0000072,Singapore,CAT002,Home & Living,2026-05-12,83.41,87.39,87.00,52.86,0.020560,true
TREND0000073,Singapore,CAT002,Home & Living,2026-05-13,79.91,84.40,86.97,52.90,-0.042003,true
TREND0000074,Singapore,CAT002,Home & Living,2026-05-14,83.53,88.57,86.88,52.93,0.045243,true
TREND0000075,Singapore,CAT002,Home & Living,2026-05-15,78.67,84.28,86.73,52.95,-0.058091,true
TREND0000076,Singapore,CAT002,Home & Living,2026-05-16,79.46,85.60,86.52,52.97,0.009972,true
TREND0000077,Singapore,CAT002,Home & Living,2026-05-17,76.46,83.10,86.27,52.97,-0.037704,true
TREND0000078,Singapore,CAT002,Home & Living,2026-05-18,78.37,85.42,85.96,52.96,0.024927,true
TREND0000079,Singapore,CAT002,Home & Living,2026-05-19,76.44,83.80,85.62,52.94,-0.024619,true
TREND0000080,Singapore,CAT002,Home & Living,2026-05-20,75.24,82.78,85.24,52.91,-0.015700,true
TREND0000081,Singapore,CAT002,Home & Living,2026-05-21,74.27,81.85,84.84,52.87,-0.012910,true
TREND0000082,Singapore,CAT002,Home & Living,2026-05-22,70.81,78.28,84.42,52.83,-0.046597,true
TREND0000083,Singapore,CAT002,Home & Living,2026-05-23,70.72,77.92,84.00,52.77,-0.001271,true
