session_id,buyer_id,order_id,product_id,language,intent,risk_level,session_status,created_at,is_mock_data
SES00001,BUY00075,ORD000241,PROD0029,Vietnamese,cancel_order,medium,resolved,2026-02-26T22:18:00+08:00,true
SES00002,BUY00132,ORD000221,PROD0043,English,cancel_order,medium,resolved,2026-04-08T20:07:00+08:00,true
SES00003,BUY00134,ORD000337,PROD0046,Thai,size_inquiry,low,resolved,2026-01-05T23:11:00+08:00,true
SES00004,BUY00187,ORD000276,PROD0055,English,refund_request,high,resolved,2026-05-13T18:46:00+08:00,true
SES00005,BUY00204,ORD000195,PROD0085,English,cancel_order,medium,resolved,2026-02-02T04:26:00+08:00,true
SES00006,BUY00253,ORD000249,PROD0089,Vietnamese,cancel_order,medium,resolved,2026-06-02T19:48:00+08:00,true
SES00007,BUY00222,ORD000297,PROD0060,Indonesian,product_inquiry,low,resolved,2026-05-03T11:34:00+08:00,true
SES00008,BUY00200,ORD000252,PROD0035,Vietnamese,size_inquiry,low,resolved,2026-03-29T10:46:00+08:00,true
SES00009,BUY00041,ORD000220,PROD0083,Vietnamese,logistics_query,low,resolved,2026-05-12T10:55:00+08:00,true
SES00010,BUY00223,ORD000368,PROD0014,Malay,complaint,high,resolved,2026-01-29T23:16:00+08:00,true
SES00011,BUY00195,ORD000222,PROD0058,Thai,order_query,low,resolved,2026-03-18T02:00:00+08:00,true
SES00012,BUY00239,ORD000434,PROD0015,Filipino,refund_request,high,transferred_to_human,2026-06-02T08:56:00+08:00,true
SES00013,BUY00243,ORD000129,PROD0091,English,logistics_query,low,resolved,2026-02-03T23:59:00+08:00,true
SES00014,BUY00174,ORD000139,PROD0007,English,product_inquiry,low,resolved,2026-03-16T19:35:00+08:00,true
SES00015,BUY00144,ORD000347,PROD0046,Thai,stock_inquiry,low,resolved,2026-01-28T03:40:00+08:00,true
SES00016,BUY00199,ORD000398,PROD0063,Filipino,size_inquiry,low,resolved,2026-01-22T01:59:00+08:00,true
SES00017,BUY00216,ORD000229,PROD0035,Vietnamese,product_inquiry,low,open,2026-01-31T21:36:00+08:00,true
SES00018,BUY00320,ORD000079,PROD0079,English,size_inquiry,low,resolved,2026-01-28T06:47:00+08:00,true
