inventory_id,sku_id,warehouse_id,warehouse_name,available_stock,reserved_stock,safety_stock,stock_status,updated_at,is_mock_data
INV00001,SKU00001,WH002,Singapore Demo Fulfillment Center,138,2,9,sufficient,2026-06-30T23:00:00+08:00,true
INV00002,SKU00002,WH003,Malaysia Demo Fulfillment Center,56,1,8,sufficient,2026-06-29T14:00:00+08:00,true
INV00003,SKU00003,WH003,Malaysia Demo Fulfillment Center,86,7,15,sufficient,2026-06-30T07:00:00+08:00,true
INV00004,SKU00004,WH003,Malaysia Demo Fulfillment Center,5,1,15,low_stock,2026-06-29T17:00:00+08:00,true
INV00005,SKU00005,WH004,Philippines Demo Fulfillment Center,94,2,6,sufficient,2026-07-01T08:00:00+08:00,true
INV00006,SKU00006,WH005,Thailand Demo Fulfillment Center,8,2,11,low_stock,2026-07-01T11:00:00+08:00,true
INV00007,SKU00007,WH005,Thailand Demo Fulfillment Center,1,1,12,low_stock,2026-06-30T22:00:00+08:00,true
INV00008,SKU00008,WH005,Thailand Demo Fulfillment Center,12,2,13,low_stock,2026-06-29T18:00:00+08:00,true
INV00009,SKU00009,WH005,Thailand Demo Fulfillment Center,8,1,11,low_stock,2026-06-30T10:00:00+08:00,true
INV00010,SKU00010,WH006,Vietnam Demo Fulfillment Center,43,5,10,sufficient,2026-06-29T15:00:00+08:00,true
INV00011,SKU00011,WH001,Indonesia Demo Fulfillment Center,80,0,13,sufficient,2026-06-30T03:00:00+08:00,true
INV00012,SKU00012,WH001,Indonesia Demo Fulfillment Center,154,6,6,sufficient,2026-06-30T01:00:00+08:00,true
INV00013,SKU00013,WH001,Indonesia Demo Fulfillment Center,131,6,6,sufficient,2026-06-29T15:00:00+08:00,true
INV00014,SKU00014,WH001,Indonesia Demo Fulfillment Center,4,3,15,low_stock,2026-06-29T05:00:00+08:00,true
INV00015,SKU00015,WH002,Singapore Demo Fulfillment Center,94,0,13,sufficient,2026-07-01T05:00:00+08:00,true
INV00016,SKU00016,WH002,Singapore Demo Fulfillment Center,118,0,13,sufficient,2026-07-01T07:00:00+08:00,true
INV00017,SKU00017,WH003,Malaysia Demo Fulfillment Center,136,5,5,sufficient,2026-06-30T02:00:00+08:00,true
INV00018,SKU00018,WH003,Malaysia Demo Fulfillment Center,4,0,6,low_stock,2026-06-29T06:00:00+08:00,true
INV00019,SKU00019,WH004,Philippines Demo Fulfillment Center,0,0,6,out_of_stock,2026-06-29T04:00:00+08:00,true
INV00020,SKU00020,WH004,Philippines Demo Fulfillment Center,139,1,8,sufficient,2026-07-01T07:00:00+08:00,true
