track_id,tracking_number,status,location,description,event_time,is_mock_data
TRACK0000001,TRK000000001,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-06-21T18:50:00+08:00,true
TRACK0000002,TRK000000001,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-06-22T15:50:00+08:00,true
TRACK0000003,TRK000000001,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-06-23T03:50:00+08:00,true
TRACK0000004,TRK000000001,delivered,Singapore,Parcel delivered to the simulated buyer,2026-06-24T07:50:00+08:00,true
TRACK0000005,TRK000000002,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-03-19T05:04:00+08:00,true
TRACK0000006,TRK000000002,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-03-19T15:04:00+08:00,true
TRACK0000007,TRK000000002,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-03-20T17:04:00+08:00,true
TRACK0000008,TRK000000002,out_for_delivery,Kuala Lumpur Delivery Hub,Courier is delivering the parcel,2026-03-21T15:04:00+08:00,true
TRACK0000009,TRK000000002,delivered,Kuala Lumpur,Parcel delivered to the simulated buyer,2026-03-22T11:04:00+08:00,true
TRACK0000010,TRK000000003,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-25T06:09:00+08:00,true
TRACK0000011,TRK000000003,customs_clearance,Manila Customs,Customs processing completed,2026-01-26T09:09:00+08:00,true
TRACK0000012,TRK000000003,out_for_delivery,Manila Delivery Hub,Courier is delivering the parcel,2026-01-26T21:09:00+08:00,true
TRACK0000013,TRK000000003,delivered,Manila,Parcel delivered to the simulated buyer,2026-01-28T01:09:00+08:00,true
TRACK0000014,TRK000000004,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-05-20T17:13:00+08:00,true
TRACK0000015,TRK000000004,customs_clearance,Bangkok Customs,Customs processing completed,2026-05-21T12:13:00+08:00,true
TRACK0000016,TRK000000004,delivered,Bangkok,Parcel delivered to the simulated buyer,2026-05-22T01:13:00+08:00,true
TRACK0000017,TRK000000005,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-06-19T13:54:00+08:00,true
TRACK0000018,TRK000000005,customs_clearance,Ho Chi Minh City Customs,Customs processing completed,2026-06-20T06:54:00+08:00,true
TRACK0000019,TRK000000005,delivered,Ho Chi Minh City,Parcel delivered to the simulated buyer,2026-06-20T21:54:00+08:00,true
TRACK0000020,TRK000000006,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-16T07:51:00+08:00,true
TRACK0000021,TRK000000006,out_for_delivery,Jakarta Delivery Hub,Courier is delivering the parcel,2026-01-16T20:51:00+08:00,true
TRACK0000022,TRK000000006,delivered,Jakarta,Parcel delivered to the simulated buyer,2026-01-17T14:51:00+08:00,true
TRACK0000023,TRK000000007,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-05-04T23:34:00+08:00,true
TRACK0000024,TRK000000007,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-05-05T17:34:00+08:00,true
TRACK0000025,TRK000000007,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-05-06T15:34:00+08:00,true
TRACK0000026,TRK000000007,customs_clearance,Singapore Customs,Customs processing completed,2026-05-07T15:34:00+08:00,true
TRACK0000027,TRK000000007,delivered,Singapore,Parcel delivered to the simulated buyer,2026-05-08T16:34:00+08:00,true
TRACK0000028,TRK000000008,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-07T22:41:00+08:00,true
TRACK0000029,TRK000000008,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-01-08T16:41:00+08:00,true
TRACK0000030,TRK000000008,delivered,Kuala Lumpur,Parcel delivered to the simulated buyer,2026-01-09T06:41:00+08:00,true
TRACK0000031,TRK000000009,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-04-26T03:23:00+08:00,true
TRACK0000032,TRK000000009,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-04-26T11:23:00+08:00,true
TRACK0000033,TRK000000009,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-04-27T01:23:00+08:00,true
TRACK0000034,TRK000000009,customs_clearance,Manila Customs,Customs processing completed,2026-04-27T23:23:00+08:00,true
TRACK0000035,TRK000000009,out_for_delivery,Manila Delivery Hub,Courier is delivering the parcel,2026-04-28T14:23:00+08:00,true
TRACK0000036,TRK000000009,delivered,Manila,Parcel delivered to the simulated buyer,2026-04-28T21:23:00+08:00,true
TRACK0000037,TRK000000010,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-29T09:57:00+08:00,true
TRACK0000038,TRK000000010,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-01-29T22:57:00+08:00,true
TRACK0000039,TRK000000010,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-01-30T08:57:00+08:00,true
TRACK0000040,TRK000000010,customs_clearance,Bangkok Customs,Customs processing completed,2026-01-30T13:57:00+08:00,true
TRACK0000041,TRK000000010,out_for_delivery,Bangkok Delivery Hub,Courier is delivering the parcel,2026-01-30T21:57:00+08:00,true
TRACK0000042,TRK000000010,delivered,Bangkok,Parcel delivered to the simulated buyer,2026-01-31T22:57:00+08:00,true
TRACK0000043,TRK000000011,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-05-30T23:57:00+08:00,true
TRACK0000044,TRK000000011,customs_clearance,Ho Chi Minh City Customs,Customs processing completed,2026-06-01T03:57:00+08:00,true
TRACK0000045,TRK000000011,delivered,Ho Chi Minh City,Parcel delivered to the simulated buyer,2026-06-01T19:57:00+08:00,true
TRACK0000046,TRK000000012,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-17T13:45:00+08:00,true
TRACK0000047,TRK000000012,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-01-17T23:45:00+08:00,true
TRACK0000048,TRK000000012,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-01-18T23:45:00+08:00,true
TRACK0000049,TRK000000012,customs_clearance,Jakarta Customs,Customs processing completed,2026-01-19T11:45:00+08:00,true
TRACK0000050,TRK000000012,out_for_delivery,Jakarta Delivery Hub,Courier is delivering the parcel,2026-01-19T20:45:00+08:00,true
TRACK0000051,TRK000000012,delivered,Jakarta,Parcel delivered to the simulated buyer,2026-01-20T12:45:00+08:00,true
TRACK0000052,TRK000000013,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-04-12T00:44:00+08:00,true
TRACK0000053,TRK000000013,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-04-12T11:44:00+08:00,true
TRACK0000054,TRK000000013,customs_clearance,Singapore Customs,Customs processing completed,2026-04-12T20:44:00+08:00,true
TRACK0000055,TRK000000013,out_for_delivery,Singapore Delivery Hub,Courier is delivering the parcel,2026-04-13T21:44:00+08:00,true
TRACK0000056,TRK000000013,delivered,Singapore,Parcel delivered to the simulated buyer,2026-04-14T17:44:00+08:00,true
TRACK0000057,TRK000000014,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-11T13:09:00+08:00,true
TRACK0000058,TRK000000014,customs_clearance,Kuala Lumpur Customs,Customs processing completed,2026-01-11T19:09:00+08:00,true
TRACK0000059,TRK000000014,out_for_delivery,Kuala Lumpur Delivery Hub,Courier is delivering the parcel,2026-01-12T15:09:00+08:00,true
TRACK0000060,TRK000000014,delivered,Kuala Lumpur,Parcel delivered to the simulated buyer,2026-01-13T05:09:00+08:00,true
TRACK0000061,TRK000000015,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-04-03T10:23:00+08:00,true
TRACK0000062,TRK000000015,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-04-04T11:23:00+08:00,true
TRACK0000063,TRK000000015,customs_clearance,Manila Customs,Customs processing completed,2026-04-04T18:23:00+08:00,true
TRACK0000064,TRK000000015,out_for_delivery,Manila Delivery Hub,Courier is delivering the parcel,2026-04-05T20:23:00+08:00,true
TRACK0000065,TRK000000015,delivered,Manila,Parcel delivered to the simulated buyer,2026-04-07T00:23:00+08:00,true
TRACK0000066,TRK000000016,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-12T09:45:00+08:00,true
TRACK0000067,TRK000000016,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-01-13T08:45:00+08:00,true
TRACK0000068,TRK000000016,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-01-13T21:45:00+08:00,true
TRACK0000069,TRK000000016,customs_clearance,Bangkok Customs,Customs processing completed,2026-01-14T09:45:00+08:00,true
TRACK0000070,TRK000000016,delivered,Bangkok,Parcel delivered to the simulated buyer,2026-01-14T18:45:00+08:00,true
TRACK0000071,TRK000000017,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-06-11T00:09:00+08:00,true
TRACK0000072,TRK000000017,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-06-11T21:09:00+08:00,true
TRACK0000073,TRK000000017,customs_clearance,Ho Chi Minh City Customs,Customs processing completed,2026-06-13T00:09:00+08:00,true
TRACK0000074,TRK000000017,out_for_delivery,Ho Chi Minh City Delivery Hub,Courier is delivering the parcel,2026-06-13T21:09:00+08:00,true
TRACK0000075,TRK000000017,delivered,Ho Chi Minh City,Parcel delivered to the simulated buyer,2026-06-14T13:09:00+08:00,true
TRACK0000076,TRK000000018,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-03-19T11:30:00+08:00,true
TRACK0000077,TRK000000018,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-03-20T15:30:00+08:00,true
TRACK0000078,TRK000000018,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-03-21T01:30:00+08:00,true
TRACK0000079,TRK000000018,customs_clearance,Jakarta Customs,Customs processing completed,2026-03-21T12:30:00+08:00,true
TRACK0000080,TRK000000018,out_for_delivery,Jakarta Delivery Hub,Courier is delivering the parcel,2026-03-22T08:30:00+08:00,true
TRACK0000081,TRK000000018,delivered,Jakarta,Parcel delivered to the simulated buyer,2026-03-23T11:30:00+08:00,true
TRACK0000082,TRK000000019,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-01-14T20:39:00+08:00,true
TRACK0000083,TRK000000019,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-01-15T20:39:00+08:00,true
TRACK0000084,TRK000000019,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-01-16T23:39:00+08:00,true
TRACK0000085,TRK000000019,customs_clearance,Singapore Customs,Customs processing completed,2026-01-17T15:39:00+08:00,true
TRACK0000086,TRK000000019,out_for_delivery,Singapore Delivery Hub,Courier is delivering the parcel,2026-01-18T08:39:00+08:00,true
TRACK0000087,TRK000000019,delivered,Singapore,Parcel delivered to the simulated buyer,2026-01-19T03:39:00+08:00,true
TRACK0000088,TRK000000020,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-04-13T05:46:00+08:00,true
TRACK0000089,TRK000000020,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-04-13T13:46:00+08:00,true
TRACK0000090,TRK000000020,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-04-14T02:46:00+08:00,true
TRACK0000091,TRK000000020,customs_clearance,Kuala Lumpur Customs,Customs processing completed,2026-04-14T16:46:00+08:00,true
TRACK0000092,TRK000000020,delivered,Kuala Lumpur,Parcel delivered to the simulated buyer,2026-04-15T16:46:00+08:00,true
TRACK0000093,TRK000000021,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-05-30T13:01:00+08:00,true
TRACK0000094,TRK000000021,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-05-31T17:01:00+08:00,true
TRACK0000095,TRK000000021,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-06-01T18:01:00+08:00,true
TRACK0000096,TRK000000021,out_for_delivery,Manila Delivery Hub,Courier is delivering the parcel,2026-06-02T20:01:00+08:00,true
TRACK0000097,TRK000000021,delivered,Manila,Parcel delivered to the simulated buyer,2026-06-03T05:01:00+08:00,true
TRACK0000098,TRK000000022,pending_pickup,Shenzhen Demo Warehouse,Shipment information received,2026-04-26T14:26:00+08:00,true
TRACK0000099,TRK000000022,picked_up,Shenzhen Sorting Center,Parcel picked up by carrier,2026-04-27T14:26:00+08:00,true
TRACK0000100,TRK000000022,in_transit,Regional Transit Hub,Parcel is moving to destination,2026-04-28T13:26:00+08:00,true
