order_item_id,order_id,product_id,sku_id,quantity,unit_price,subtotal,is_mock_data
OI0000001,ORD000001,PROD0001,SKU00001,1,12.19,12.19,true
OI0000002,ORD000001,PROD0073,SKU00194,1,30.43,30.43,true
OI0000003,ORD000001,PROD0007,SKU00015,1,85.75,85.75,true
OI0000004,ORD000001,PROD0091,SKU00240,1,42.89,42.89,true
OI0000005,ORD000002,PROD0002,SKU00004,1,60.37,60.37,true
OI0000006,ORD000002,PROD0080,SKU00209,2,154.94,309.88,true
OI0000007,ORD000003,PROD0003,SKU00005,1,1230.48,1230.48,true
OI0000008,ORD000004,PROD0004,SKU00009,1,1648.68,1648.68,true
OI0000009,ORD000004,PROD0004,SKU00008,1,1766.13,1766.13,true
OI0000010,ORD000004,PROD0004,SKU00007,2,1647.91,3295.82,true
OI0000011,ORD000005,PROD0005,SKU00010,1,568240.08,568240.08,true
OI0000012,ORD000005,PROD0035,SKU00095,1,1192901.68,1192901.68,true
OI0000013,ORD000006,PROD0006,SKU00011,2,844228.49,1688456.98,true
OI0000014,ORD000006,PROD0084,SKU00222,1,370952.09,370952.09,true
OI0000015,ORD000007,PROD0007,SKU00016,3,93.93,281.79,true
OI0000016,ORD000007,PROD0067,SKU00180,1,30.93,30.93,true
OI0000017,ORD000008,PROD0008,SKU00017,1,46.76,46.76,true
OI0000018,ORD000008,PROD0074,SKU00196,1,285.40,285.40,true
OI0000019,ORD000008,PROD0032,SKU00088,1,228.67,228.67,true
OI0000020,ORD000009,PROD0009,SKU00020,2,3491.76,6983.52,true
OI0000021,ORD000009,PROD0003,SKU00005,1,1230.48,1230.48,true
OI0000022,ORD000009,PROD0087,SKU00229,1,668.61,668.61,true
OI0000023,ORD000010,PROD0010,SKU00024,1,357.98,357.98,true
OI0000024,ORD000010,PROD0094,SKU00246,2,1287.71,2575.42,true
OI0000025,ORD000010,PROD0028,SKU00076,1,2571.10,2571.10,true
OI0000026,ORD000011,PROD0011,SKU00025,1,386241.43,386241.43,true
OI0000027,ORD000011,PROD0083,SKU00219,1,1427699.40,1427699.40,true
OI0000028,ORD000012,PROD0012,SKU00026,2,412826.09,825652.18,true
OI0000029,ORD000012,PROD0036,SKU00098,1,255958.83,255958.83,true
OI0000030,ORD000012,PROD0042,SKU00112,1,646733.03,646733.03,true
OI0000031,ORD000012,PROD0006,SKU00014,2,814391.17,1628782.34,true
OI0000032,ORD000013,PROD0013,SKU00030,2,67.59,135.18,true
OI0000033,ORD000013,PROD0055,SKU00145,1,51.20,51.20,true
OI0000034,ORD000014,PROD0014,SKU00034,1,87.55,87.55,true
OI0000035,ORD000015,PROD0015,SKU00038,1,2026.54,2026.54,true
OI0000036,ORD000015,PROD0069,SKU00183,2,1037.37,2074.74,true
OI0000037,ORD000016,PROD0016,SKU00041,2,1606.71,3213.42,true
OI0000038,ORD000016,PROD0088,SKU00232,1,1309.11,1309.11,true
OI0000039,ORD000017,PROD0017,SKU00046,1,1341406.94,1341406.94,true
OI0000040,ORD000017,PROD0035,SKU00094,3,1297161.78,3891485.34,true
OI0000041,ORD000017,PROD0095,SKU00249,3,774461.78,2323385.34,true
OI0000042,ORD000017,PROD0065,SKU00174,2,1552367.79,3104735.58,true
OI0000043,ORD000018,PROD0018,SKU00048,1,618527.75,618527.75,true
OI0000044,ORD000018,PROD0024,SKU00064,1,514639.39,514639.39,true
OI0000045,ORD000019,PROD0019,SKU00051,3,57.51,172.53,true
OI0000046,ORD000019,PROD0025,SKU00067,1,75.42,75.42,true
OI0000047,ORD000020,PROD0020,SKU00055,2,131.40,262.80,true
OI0000048,ORD000020,PROD0008,SKU00018,1,55.98,55.98,true
OI0000049,ORD000020,PROD0074,SKU00198,2,270.01,540.02,true
OI0000050,ORD000021,PROD0021,SKU00057,2,1371.53,2743.06,true
OI0000051,ORD000022,PROD0022,SKU00059,1,332.56,332.56,true
OI0000052,ORD000022,PROD0046,SKU00125,1,372.05,372.05,true
OI0000053,ORD000022,PROD0082,SKU00216,1,228.01,228.01,true
OI0000054,ORD000023,PROD0023,SKU00063,1,1504447.05,1504447.05,true
OI0000055,ORD000023,PROD0017,SKU00045,1,1432398.55,1432398.55,true
OI0000056,ORD000024,PROD0024,SKU00064,2,514639.39,1029278.78,true
OI0000057,ORD000024,PROD0084,SKU00221,2,403023.05,806046.10,true
OI0000058,ORD000024,PROD0036,SKU00099,2,266099.35,532198.70,true
OI0000059,ORD000025,PROD0025,SKU00069,1,77.36,77.36,true
OI0000060,ORD000026,PROD0026,SKU00073,1,58.72,58.72,true
OI0000061,ORD000026,PROD0068,SKU00181,2,242.41,484.82,true
OI0000062,ORD000026,PROD0014,SKU00035,1,95.61,95.61,true
OI0000063,ORD000026,PROD0056,SKU00149,1,68.49,68.49,true
OI0000064,ORD000027,PROD0027,SKU00074,2,2354.63,4709.26,true
OI0000065,ORD000027,PROD0057,SKU00151,1,1603.33,1603.33,true
OI0000066,ORD000027,PROD0015,SKU00037,1,2304.19,2304.19,true
OI0000067,ORD000028,PROD0028,SKU00076,1,2571.10,2571.10,true
OI0000068,ORD000028,PROD0082,SKU00215,1,240.41,240.41,true
OI0000069,ORD000028,PROD0040,SKU00107,1,1767.10,1767.10,true
OI0000070,ORD000028,PROD0094,SKU00248,1,1061.30,1061.30,true
OI0000071,ORD000029,PROD0029,SKU00077,1,777631.56,777631.56,true
OI0000072,ORD000029,PROD0083,SKU00219,2,1427699.40,2855398.80,true
OI0000073,ORD000029,PROD0077,SKU00202,1,990566.46,990566.46,true
OI0000074,ORD000029,PROD0041,SKU00110,1,1270516.34,1270516.34,true
OI0000075,ORD000030,PROD0030,SKU00080,1,385998.04,385998.04,true
OI0000076,ORD000030,PROD0018,SKU00048,1,618527.75,618527.75,true
OI0000077,ORD000030,PROD0048,SKU00129,1,776592.87,776592.87,true
OI0000078,ORD000030,PROD0036,SKU00096,1,273703.93,273703.93,true
OI0000079,ORD000031,PROD0031,SKU00084,1,81.42,81.42,true
OI0000080,ORD000031,PROD0043,SKU00116,1,10.74,10.74,true
OI0000081,ORD000031,PROD0091,SKU00241,1,46.64,46.64,true
OI0000082,ORD000031,PROD0013,SKU00029,1,71.39,71.39,true
OI0000083,ORD000032,PROD0032,SKU00086,1,197.98,197.98,true
OI0000084,ORD000032,PROD0056,SKU00148,2,69.54,139.08,true
OI0000085,ORD000032,PROD0062,SKU00165,1,232.41,232.41,true
OI0000086,ORD000033,PROD0033,SKU00089,1,334.98,334.98,true
OI0000087,ORD000033,PROD0015,SKU00039,1,2224.01,2224.01,true
OI0000088,ORD000034,PROD0034,SKU00091,1,1164.86,1164.86,true
OI0000089,ORD000034,PROD0088,SKU00232,2,1309.11,2618.22,true
OI0000090,ORD000034,PROD0064,SKU00171,2,424.06,848.12,true
OI0000091,ORD000034,PROD0046,SKU00125,1,372.05,372.05,true
OI0000092,ORD000035,PROD0035,SKU00093,3,1139879.70,3419639.10,true
OI0000093,ORD000035,PROD0041,SKU00109,1,1418084.03,1418084.03,true
OI0000094,ORD000036,PROD0036,SKU00096,2,273703.93,547407.86,true
OI0000095,ORD000036,PROD0018,SKU00048,1,618527.75,618527.75,true
OI0000096,ORD000036,PROD0048,SKU00129,1,776592.87,776592.87,true
OI0000097,ORD000037,PROD0037,SKU00100,1,70.85,70.85,true
OI0000098,ORD000037,PROD0061,SKU00162,1,94.04,94.04,true
OI0000099,ORD000037,PROD0049,SKU00133,2,67.80,135.60,true
OI0000100,ORD000038,PROD0038,SKU00102,2,261.50,523.00,true
OI0000101,ORD000038,PROD0080,SKU00210,1,158.07,158.07,true
OI0000102,ORD000039,PROD0039,SKU00105,1,2655.76,2655.76,true
OI0000103,ORD000039,PROD0045,SKU00121,2,2919.58,5839.16,true
OI0000104,ORD000040,PROD0040,SKU00107,1,1767.10,1767.10,true
OI0000105,ORD000041,PROD0041,SKU00110,1,1270516.34,1270516.34,true
OI0000106,ORD000041,PROD0065,SKU00175,1,1621774.14,1621774.14,true
OI0000107,ORD000041,PROD0035,SKU00092,1,1317389.56,1317389.56,true
OI0000108,ORD000042,PROD0042,SKU00113,1,583365.22,583365.22,true
OI0000109,ORD000043,PROD0043,SKU00116,1,10.74,10.74,true
OI0000110,ORD000043,PROD0049,SKU00132,1,78.51,78.51,true
OI0000111,ORD000043,PROD0085,SKU00225,1,35.29,35.29,true
OI0000112,ORD000043,PROD0013,SKU00029,1,71.39,71.39,true
OI0000113,ORD000044,PROD0044,SKU00119,1,60.15,60.15,true
OI0000114,ORD000045,PROD0045,SKU00121,1,2919.58,2919.58,true
OI0000115,ORD000045,PROD0021,SKU00056,2,1334.27,2668.54,true
OI0000116,ORD000045,PROD0063,SKU00169,2,3067.94,6135.88,true
OI0000117,ORD000046,PROD0046,SKU00125,1,372.05,372.05,true
OI0000118,ORD000046,PROD0046,SKU00122,1,431.81,431.81,true
OI0000119,ORD000046,PROD0016,SKU00040,3,1633.19,4899.57,true
OI0000120,ORD000046,PROD0094,SKU00247,1,1140.52,1140.52,true
OI0000121,ORD000047,PROD0047,SKU00127,1,1137574.39,1137574.39,true
OI0000122,ORD000047,PROD0011,SKU00025,1,386241.43,386241.43,true
OI0000123,ORD000047,PROD0095,SKU00251,1,836988.65,836988.65,true
OI0000124,ORD000048,PROD0048,SKU00131,2,683257.51,1366515.02,true
OI0000125,ORD000048,PROD0048,SKU00129,2,776592.87,1553185.74,true
OI0000126,ORD000048,PROD0018,SKU00048,1,618527.75,618527.75,true
OI0000127,ORD000048,PROD0096,SKU00253,3,723622.53,2170867.59,true
OI0000128,ORD000049,PROD0049,SKU00133,1,67.80,67.80,true
OI0000129,ORD000049,PROD0055,SKU00146,1,48.24,48.24,true
