sku_id,product_id,seller_sku,variation_name,variation_value,price,cost,weight,status,created_at,is_mock_data
SKU00001,PROD0001,CAT001-0001-01,Ports,6-in-1,12.19,6.76,0.270,active,2025-07-31T10:01:00+08:00,true
SKU00002,PROD0002,CAT002-0002-01,Color,Blue,64.21,26.79,1.832,active,2025-04-22T01:01:00+08:00,true
SKU00003,PROD0002,CAT002-0002-02,Color,Pink,62.78,26.95,1.961,active,2025-04-22T01:02:00+08:00,true
SKU00004,PROD0002,CAT002-0002-03,Color,Beige,60.37,27.90,1.352,active,2025-04-22T01:03:00+08:00,true
SKU00005,PROD0003,CAT003-0003-01,Plug,EU,1230.48,710.91,0.302,active,2026-01-29T18:01:00+08:00,true
SKU00006,PROD0004,CAT004-0004-01,Style,Classic,1735.31,1018.26,0.619,active,2025-08-05T01:01:00+08:00,true
SKU00007,PROD0004,CAT004-0004-02,Style,Sport,1647.91,1031.44,1.897,active,2025-08-05T01:02:00+08:00,true
SKU00008,PROD0004,CAT004-0004-03,Style,Style 3,1766.13,1098.15,1.782,active,2025-08-05T01:03:00+08:00,true
SKU00009,PROD0004,CAT004-0004-04,Style,Style 4,1648.68,1003.89,2.137,active,2025-08-05T01:04:00+08:00,true
SKU00010,PROD0005,CAT005-0005-01,Thickness,6mm,568240.08,288613.74,0.718,active,2026-03-27T03:01:00+08:00,true
SKU00011,PROD0006,CAT006-0006-01,Capacity,300ml,844228.49,587395.54,0.265,inactive,2025-06-10T10:01:00+08:00,true
SKU00012,PROD0006,CAT006-0006-02,Capacity,500ml,878821.58,536556.12,0.105,active,2025-06-10T10:02:00+08:00,true
SKU00013,PROD0006,CAT006-0006-03,Capacity,Style 3,839080.40,549532.84,0.615,inactive,2025-06-10T10:03:00+08:00,true
SKU00014,PROD0006,CAT006-0006-04,Capacity,Style 4,814391.17,571515.36,2.461,inactive,2025-06-10T10:04:00+08:00,true
SKU00015,PROD0007,CAT007-0007-01,Plug,UK,85.75,39.85,0.511,active,2025-12-08T10:01:00+08:00,true
SKU00016,PROD0007,CAT007-0007-02,Plug,EU,93.93,39.93,1.157,active,2025-12-08T10:02:00+08:00,true
SKU00017,PROD0008,CAT008-0008-01,Color,Pink,46.76,33.42,0.711,active,2025-04-28T14:01:00+08:00,true
SKU00018,PROD0008,CAT008-0008-02,Color,Blue,55.98,30.51,0.177,active,2025-04-28T14:02:00+08:00,true
SKU00019,PROD0009,CAT001-0009-01,Color,Blue,3363.81,2262.13,2.015,active,2025-08-20T11:01:00+08:00,true
SKU00020,PROD0009,CAT001-0009-02,Color,White,3491.76,2169.14,0.594,active,2025-08-20T11:02:00+08:00,true
SKU00021,PROD0009,CAT001-0009-03,Color,Black,3751.63,2046.04,2.352,active,2025-08-20T11:03:00+08:00,true
SKU00022,PROD0010,CAT002-0010-01,Size,Small,372.09,175.25,0.365,active,2025-11-09T23:01:00+08:00,true
SKU00023,PROD0010,CAT002-0010-02,Size,Large,365.49,183.43,1.014,active,2025-11-09T23:02:00+08:00,true
SKU00024,PROD0010,CAT002-0010-03,Size,Medium,357.98,184.17,1.005,active,2025-11-09T23:03:00+08:00,true
SKU00025,PROD0011,CAT003-0011-01,Plug,UK,386241.43,191122.20,1.518,active,2025-09-23T19:01:00+08:00,true
SKU00026,PROD0012,CAT004-0012-01,Color,Brown,412826.09,275098.86,2.025,active,2025-08-22T15:01:00+08:00,true
SKU00027,PROD0012,CAT004-0012-02,Color,Navy,464148.52,265433.88,0.104,active,2025-08-22T15:02:00+08:00,true
